age,weight,steps,calories,activity_level,heart_rate
21,73,18743,1839,1,86.0302343484917
51,60,14728,3227,2,106.6554152026593
44,66,3876,3962,1,77.9606065357734
31,72,16793,3281,1,86.54079444316723
35,64,3678,2672,3,121.67202921528653
51,61,3895,2917,2,98.48770883686397
38,97,18753,3713,1,97.67036026904661
35,69,15527,3949,2,102.42697314002542
49,91,13556,1635,1,84.14442853702216
38,96,19884,3132,2,113.32693867264489
20,52,8848,2326,3,136.8785014717137
31,80,19189,2139,3,132.54624551690662
26,50,7988,1684,2,105.02823819208137
29,76,16357,3701,1,88.58498166795027
47,87,7379,1519,1,76.67115458796403
19,96,2688,1869,3,119.96524417088253
47,89,7184,2233,1,68.5832032504585
34,75,11288,2051,2,105.13213300895595
58,79,6995,1500,2,98.02793188507782
47,92,11876,1699,2,110.88845354347546
54,71,8665,1675,3,114.2577232763999
39,77,3789,1576,3,106.5798050505739
38,83,19594,1875,2,114.62838772570134
38,84,4329,3197,2,99.20040618830976
33,53,9425,3742,1,81.51329574125424
55,56,16463,1514,1,95.86035983635769
27,92,11873,2435,3,125.20607198647276
30,68,17259,2071,1,94.49094405387343
43,70,9109,3689,2,99.58574393319567
31,90,9267,3031,2,113.74841446613178
28,67,2289,1546,1,76.98804318205009
58,84,13799,1900,3,123.08780336400852
52,57,8212,1606,3,120.75567409499405
44,88,14986,2365,2,104.92008173084909
31,54,4047,3834,3,115.37110512113968
39,84,11398,3571,3,116.4100380067276
30,83,8398,3126,1,92.53108152292711
51,67,4947,3785,3,106.02328257938836
21,94,19468,3008,2,114.13858671122712
43,95,13104,1699,3,128.0908538960453
32,53,1920,1644,2,95.99258198360333
28,91,19533,3741,1,87.91920203481136
41,53,9093,3729,3,126.47771002943196
53,62,12906,3415,3,120.29130366276942
53,66,2960,1719,1,71.0726768591603
23,79,5846,2612,1,74.08836356995485
46,93,3403,1836,1,71.38626603801715
54,70,3484,2371,1,64.97267925460106
55,67,10863,2694,1,76.55625373208701
40,52,6117,3390,2,99.24146582561349
21,64,16509,2194,1,95.65762666733352
23,98,4818,2294,2,96.82414425190818
31,70,10534,2276,1,81.57479583550528
22,89,3972,3743,3,116.64617502338164
22,54,9619,1566,3,122.63966607334886
28,79,6674,3029,2,90.97424710638609
46,58,6292,1961,2,95.88740118135648
56,92,9219,3614,3,112.7384335192919
42,51,19301,2460,1,90.74299597834356
40,65,1263,2176,2,86.43875764677708
47,65,13483,2315,3,113.42438550595813
23,81,19836,3791,1,94.85045615403575
54,56,9497,3556,1,72.74424163657696
40,71,6757,3724,2,100.55309372273298
48,80,8302,2635,3,124.34026791077882
49,89,9839,1970,3,118.53776606336442
21,88,3945,2562,2,105.43532473497844
47,54,1082,2772,3,108.55284488909165
23,95,11892,2689,3,129.79864157961424
49,81,15799,1528,2,102.87141160441423
26,98,98,3373,2,97.48396730313861
33,60,2025,2204,3,111.1871116868917
18,75,17068,3966,3,130.18380948029628
23,51,1604,1515,1,81.641094825867
27,89,6030,1682,3,113.591381834708
48,57,9392,2980,1,78.08794687653949
45,60,4372,3568,2,95.1696274993979
33,81,7770,1886,1,92.82369759003481
45,52,19795,2070,3,128.7023312171499
42,50,10597,1886,3,124.71782981426203
46,70,6350,2073,2,99.99518318415306
21,89,5106,1736,1,89.8490047865971
29,51,19857,3962,1,97.65949621431726
34,53,14304,3721,3,122.57212482376538
23,81,11686,2740,1,102.84142829256565
32,84,15772,3524,2,105.98142769698055
39,58,779,2774,3,117.26967852759
32,70,11102,2234,2,103.29725225297653
55,55,6251,2498,2,98.27348467663975
45,52,13977,3939,3,133.71938663588807
54,52,5199,3195,2,97.57830409060816
32,50,14276,2288,3,119.5267512679518
46,81,2833,2656,1,69.58529492028471
52,70,6809,2377,3,112.03042956829856
21,90,2833,3832,3,121.67572145504856
51,80,1649,2844,2,88.217422043674
42,90,10350,1599,2,84.84001668461268
33,59,2841,3297,2,99.0931440067494
54,78,7469,3994,1,72.43630061033183
29,88,8641,3326,2,113.64306205567618
32,81,18259,3721,1,89.54880766183963
27,84,17896,1883,1,83.2786265299938
38,89,9523,2267,3,122.75421067550513
36,89,15253,1810,1,79.84024265301116
55,68,1075,3589,2,92.15545599140202
23,64,4357,2575,2,104.33155666343606
22,91,9178,1806,2,99.52699715075472
49,55,16616,3914,3,125.13137624231868
57,80,13661,1950,3,124.39970692503819
58,89,15653,2975,3,122.88924050450086
52,79,10208,1879,1,87.41265540512052
21,52,16273,2805,3,134.18659554053423
46,57,12208,3171,1,80.86569986215386
51,62,10333,1656,3,120.64666192335847
57,52,6519,2707,2,101.4630654681183
28,87,4174,3240,1,85.75195695168713
54,78,2800,1840,1,75.24978706793637
39,54,12676,3567,1,81.14794331461309
54,87,18451,3546,2,115.08818131751829
20,85,3110,1691,2,101.25647259280143
28,80,450,1614,2,97.91892571324775
41,56,8816,2438,3,122.8376034320381
35,73,17848,2621,3,137.60789481141376
57,87,8876,2622,3,122.68204105193868
44,59,9800,1775,2,109.71594275812635
53,91,11305,1848,2,100.40208534374626
19,82,10197,3154,2,104.92882557120754
30,66,19403,1531,2,103.05040475409827
52,84,13456,1730,2,100.58632672127929
55,88,6074,3056,1,79.73656433951318
55,86,12725,1642,2,108.78018247427836
34,56,11296,3785,3,122.90119674467522
24,60,5513,2116,1,88.79162882933697
47,99,13100,1547,2,101.83836755546031
25,94,6135,2953,3,118.31128890604252
33,86,14128,2978,3,125.21725239267323
50,54,13795,2573,3,120.4172272732054
40,83,1176,2967,3,110.39611691632797
33,86,5122,1636,1,76.58372966111425
27,54,18146,3040,1,94.78126055415763
53,74,4133,2561,3,115.740939531929
49,70,17510,2257,3,130.79990109456207
44,60,4454,2791,3,116.54466682957695
58,80,6911,2535,1,82.02522840128304
46,69,5673,3872,3,124.94326664364672
48,53,13991,2567,2,108.02332403840836
52,66,10148,3843,1,92.48491191541665
23,92,10604,3670,3,127.62971675173333
31,71,5357,3617,1,78.95818045002768
21,80,1573,3081,3,123.99033935450423
42,88,14395,3201,3,126.38526863752544
25,88,15251,1859,2,102.56241648415624
27,70,14133,1976,2,107.96065404117572
49,68,6684,2535,2,95.40808563309913
50,68,2978,1853,3,109.6837859415642
48,65,16114,3167,3,134.48521394250594
30,66,13855,3587,1,89.5001799370403
30,60,9272,1603,1,79.8097020952593
36,72,16074,2377,1,86.25396913127383
59,82,16070,3222,3,121.08254752631893
51,54,13301,3903,1,92.18487385781809
44,97,2574,2662,1,69.82916272290888
38,94,42,3409,1,76.96468458766576
52,79,12199,2652,1,72.45500941281107
30,90,9846,2681,1,83.85090756226637
57,88,12622,2022,3,128.26696417875883
44,82,9877,3870,3,130.2160784903961
37,80,2424,2805,2,96.93039462257177
35,72,14541,1662,3,132.821710035458
30,59,2490,3020,2,89.57957154869432
44,80,17416,1594,1,87.95646496539845
28,65,15357,2794,1,93.16874402782467
18,87,19755,2863,2,119.44313815074322
47,86,16171,1996,3,130.49548329296456
20,67,14857,2800,2,110.26025549432353
38,52,6886,3300,3,116.51372827205832
39,99,18172,2069,1,87.30965286949487
52,74,12509,1641,3,132.38296534607073
58,71,6879,3168,2,100.15656071521693
21,60,17447,1835,2,103.72744275803431
23,90,13557,3606,1,86.95736681164274
54,82,12377,3335,1,85.301425784267
32,90,14342,2490,3,128.657917813281
38,81,2109,2378,2,95.30278857886222
54,86,13301,3506,3,117.78855288063872
56,95,17080,2752,3,125.44039555652239
38,58,13625,2225,3,118.60130908284232
23,59,13066,2036,3,133.009667748789
53,96,12815,2797,1,81.74687921026616
59,87,1953,1582,3,108.92433347651156
27,93,18710,3718,1,93.64771538864727
36,93,16990,1611,3,131.36822687185764
21,67,3099,3571,2,96.61292425292018
20,88,4454,2006,3,115.78512034499386
50,60,14467,2315,2,100.01207069494757
31,96,1803,1927,1,76.69777910313951
28,93,9325,3159,2,103.1150870569809
31,76,1409,3675,2,97.25382664320756
23,88,17746,1748,1,101.89219707186275
22,61,13494,2245,1,88.21670681097322
28,51,5512,2582,1,82.94577558625393
37,79,19313,2298,3,137.56277718867463
22,65,17283,3578,3,133.473812669922
59,90,2775,3609,3,113.8291091396962
47,87,6623,3042,1,70.28495636249575
56,64,8855,2901,3,108.02776211609202
33,52,3145,2838,2,95.04595737665032
57,61,4180,2298,1,72.08907218691378
21,64,2049,1561,3,122.61810437981212
38,51,1689,2002,2,101.50912390119962
43,73,18454,2444,3,129.837253466127
40,85,3594,1533,3,121.19176599846004
51,56,532,1568,3,115.05158650145337
47,54,16825,1789,2,105.28508297139247
18,57,2577,3510,2,99.99519876839227
21,74,19542,1652,3,129.83311757227668
34,50,17570,1589,1,97.55680747199195
44,78,15088,1786,2,106.28272940645931
20,68,3119,1804,1,75.70669899621565
22,62,3063,3065,3,132.1566433486089
47,53,8344,3648,2,99.41154241823165
42,70,12544,3272,1,79.76095967499856
37,66,12843,3936,1,73.08540061919572
57,97,7202,1563,2,91.83036653877066
54,87,9240,1508,2,88.92136599254474
29,68,12907,2452,3,123.61777681282594
18,58,4227,2856,1,78.99283952012641
57,98,3407,2087,3,115.41911530429476
38,67,14548,2042,2,102.14326925736245
42,61,737,2790,3,112.35568483182432
58,74,17369,3505,3,122.31996995202046
49,80,19015,1924,3,130.0408483392722
29,89,15866,3260,3,138.21693241675297
41,80,7275,1561,3,121.56511335666778
39,99,8355,2637,3,128.19660585447625
43,63,11630,2068,2,101.00511084597457
27,59,1788,2534,3,118.23767782646429
41,62,11431,2693,1,81.03007202577132
27,62,15941,1708,2,111.84035903192941
43,96,1015,3739,1,68.20057305814265
24,56,6460,3441,1,77.94220575354049
27,58,2408,3213,1,75.35607886697962
58,98,2164,3094,2,95.3445743253967
51,81,18378,3472,1,87.72441343473393
25,84,18484,3845,3,131.45455993036165
48,74,8453,3135,2,98.49622712521845
18,63,537,2103,2,99.49145186820724
47,65,9575,1537,3,127.00756239640195
36,90,4706,2272,2,96.16777790189741
37,73,4355,3795,3,112.00858450982784
58,73,1689,2231,1,66.24492568213508
37,75,841,3213,3,113.70057099134733
38,80,19389,3638,2,107.15339437766342
45,55,7461,1814,3,120.03235543437643
46,65,2260,3504,3,108.88043187172391
58,64,14241,1778,3,117.86636094110945
32,52,865,3831,1,74.43045433574058
41,50,5195,3648,2,107.00744193172523
26,90,16088,2390,3,131.3301864657268
36,55,11757,3410,1,85.54468661462454
55,64,9499,3398,1,77.75233590637811
54,91,14889,2952,1,91.18434005595812
39,52,19719,3231,1,99.94505550994658
28,93,19095,2818,1,95.50987588999998
24,58,8662,2567,3,116.51375034206139
52,86,11028,2236,2,101.6070768642454
46,68,19264,3196,3,127.23355775255392
32,89,8153,2607,3,127.23261801975276
55,62,11381,2572,3,110.65276993292852
48,60,18948,1718,1,89.50005571025434
21,92,11247,2764,3,127.2007584603266
20,91,14948,3098,2,108.90543811571675
56,80,7723,1739,1,81.31201222158296
48,50,14261,3540,1,81.78177189775995
25,97,13502,3130,2,101.79296228040536
20,89,7305,1887,2,101.75142489993239
29,75,4602,3138,2,96.9014183159061
33,59,10127,2740,3,124.52265352296898
18,93,17742,3313,2,104.52203548741434
38,98,5568,2519,3,116.2421753427622
46,66,9332,2729,1,74.83075086536181
20,72,19723,2460,1,99.160070397235
26,77,12769,2168,3,128.64266466478873
18,77,1806,1770,3,116.03479533238186
47,89,8277,1820,1,78.37530038220856
30,70,7353,3147,1,80.2673595349353
26,65,10938,1839,1,81.2423594892589
58,94,9736,3834,1,72.24752067065297
18,58,8112,3322,2,102.20661278102112
54,87,9751,3515,2,94.61394926515204
22,80,12905,1700,3,131.65934079897474
30,67,3313,3310,3,114.78566039464486
58,93,4099,1999,1,78.30430886971837
36,76,432,3945,1,70.13413688017631
31,97,12555,2558,1,89.98291854134202
45,74,17097,3134,1,89.33154229076395
47,86,2773,3381,2,90.68419769666347
46,65,12730,3528,2,108.31952127411394
41,72,17522,2110,1,91.4778099536248
56,67,5729,1721,1,81.91537813264226
55,75,2459,1509,3,117.15536293158404
23,61,15627,3961,2,108.59966574989748
22,83,8303,3527,1,81.64638272911367
30,53,12846,3200,2,106.23165231203566
29,54,6654,2069,2,100.70400980818836
40,86,3939,3663,2,94.76438514428662
37,58,9120,3824,3,115.71628630542075
47,69,13370,3523,1,79.55001876121808
33,75,6199,3593,2,97.92607325310203
55,90,6100,2044,2,89.5027013073279
44,92,8697,2821,3,119.51259131290779
47,65,5916,2378,3,117.2421129811674
50,71,9802,1633,1,86.82979636955233
23,92,11592,1986,2,114.96627019069373
34,55,4980,3572,2,104.02408767912642
28,92,6769,3773,1,74.88403404835624
54,83,17809,1528,1,93.71102785265171
26,93,8226,3889,3,118.5622756034946
33,50,2304,3902,2,91.08398635469142
28,78,12547,2332,2,108.27350791542507
48,59,14430,3977,2,98.98786687671092
47,52,11681,2379,2,98.79480019074275
40,81,11409,3100,2,100.68073738612966
38,89,4633,3857,2,102.3543049088592
44,92,19526,3588,3,135.47118004153893
57,68,12450,3089,3,126.89645414180926
26,66,5978,3519,2,93.03919056470522
37,93,19494,2930,2,112.96138804739657
46,78,11868,3054,2,96.67338229492307
56,74,4389,1887,1,73.98309522963895
28,88,18945,1852,2,109.61521075677979
30,66,8251,3653,1,79.70585709908782
54,86,3868,1829,1,64.26057788517664
28,69,18177,3070,2,106.4438622148646
21,76,17891,2023,1,98.15108318118638
29,51,5583,2270,3,118.71467657254406
34,88,5271,2526,3,120.73214840472743
44,84,13956,2310,1,78.4154599078127
51,55,5470,2865,3,108.51462855752517
44,94,10526,2095,2,105.06670009009267
26,85,4440,3941,2,97.64692906055402
37,79,10337,2385,2,97.16063104271798
36,54,19485,3652,1,90.67267817464052
32,79,6409,2925,3,122.59312115062434
57,90,19933,2513,3,127.79637228967715
59,69,12955,3413,2,102.89451578925818
19,76,7103,1749,1,83.42561493412944
44,97,7917,3130,1,73.76323229033346
53,71,14871,2708,1,80.33480961386029
29,72,16654,1931,1,85.95419681005932
27,61,18955,2555,1,92.58590196565954
36,75,5537,3946,3,118.08510244663111
43,58,11448,3501,1,87.34933358022413
49,91,14402,3458,3,116.3965420828263
33,74,2529,3080,3,115.06740424702136
48,51,12601,2404,3,120.8250093825462
19,72,6660,2344,2,99.89945564857831
41,69,17775,1670,3,134.6627790848784
59,92,4121,1959,2,85.93459316048079
28,61,8961,2829,2,106.47641416746589
23,81,13817,3117,1,81.73815769080028
58,83,8067,1533,1,78.76991121023862
54,80,10089,3823,1,80.5238045430582
27,66,11126,1567,3,134.14917964897313
39,79,18720,1765,2,119.85207479650006
26,83,951,1762,2,91.16803422380725
21,64,13990,2872,3,129.10840484491763
47,53,11858,3086,3,128.98396681612033
19,90,179,2170,2,90.1930386001199
59,70,17945,1761,2,104.8886573906834
52,82,18697,3197,1,90.22839777089558
46,91,15450,1694,2,108.51711539744988
51,81,15118,3470,2,104.35073036385711
28,66,6990,2611,1,91.04746970785462
24,98,2248,3596,3,116.71572257732035
36,60,1432,2397,3,118.14071715357201
45,59,1252,2128,3,103.8899958960511
45,54,18318,3155,1,93.78553568783809
29,58,13411,2217,2,109.51223405302166
45,81,7090,2802,2,106.48094395194806
32,64,2886,2829,1,74.71795109287604
26,89,16891,3519,3,129.64499069131242
27,86,95,2740,3,110.4754162874417
52,94,18924,2193,2,109.00825769174314
38,63,10789,3531,1,87.82906253536191
18,55,2251,2288,3,124.59868628300877
29,87,6675,1996,2,104.03465217563772
53,63,18636,2442,2,111.31346002221778
36,84,12053,3428,1,85.05716460579566
27,60,16015,1925,2,113.49006732871705
44,51,11778,2987,1,83.66071300009021
57,68,4054,2133,2,93.29233989450702
44,90,12115,3786,2,97.96359185886001
43,78,3016,3698,2,91.71091475466582
47,92,17182,1960,1,92.95716245253287
55,84,4847,2465,3,110.75408977024699
45,99,10595,3256,1,78.36051312305896
33,98,17026,2372,2,106.63776877733211
28,73,8944,3214,1,83.23450741409295
38,85,6149,1538,2,101.81458192434486
56,55,10111,2651,1,70.00426468792395
19,53,13141,2211,2,104.49711727383125
47,74,19227,2226,2,116.04692357863739
41,50,19265,2535,2,108.23404804030167
46,77,9364,1579,3,125.22045391331028
37,83,553,3456,3,111.69005642966447
46,83,631,2372,1,63.709775417401886
59,97,16947,2834,3,124.18998834724547
53,61,8853,1747,3,119.25266514798552
25,67,922,1688,2,90.86556919317974
20,90,14373,2071,2,115.70451989743258
53,99,8563,2978,3,111.06091365026808
21,99,7407,3876,1,81.20998834536239
45,80,2308,2047,2,105.73797785599177
46,57,6029,1745,2,98.94664561267074
36,77,8527,3285,1,81.11195909888279
19,75,14457,3599,2,110.4505500406016
22,85,16784,3855,3,122.5227397094288
57,78,7314,3204,2,101.35421331860645
46,50,5524,3784,1,74.02454148652343
29,50,17277,2689,2,102.57315333127052
19,60,862,3998,1,85.14013390998296
26,91,8167,2947,3,129.77304480119747
31,62,19394,3296,1,87.15941212371378
32,65,3336,2027,3,117.93732208224654
30,53,12223,3234,3,124.1423565517507
23,61,14360,1657,3,126.55408528620805
24,81,2476,2553,1,75.86749919336687
27,69,1769,3414,2,89.3157624184967
39,96,8027,3463,3,116.23242407635404
36,65,14192,3367,1,84.86344048021209
56,72,7436,1600,2,92.80799707016202
54,68,426,3277,1,68.03073748929316
47,50,8641,1834,1,83.59068739883561
52,77,17744,3339,3,132.49133527970648
20,55,4345,3126,3,124.40689222450675
37,96,8668,2444,1,89.19491894826363
23,70,11227,3481,1,85.19373988072233
43,88,10408,3669,1,81.35204264784929
28,89,9360,1526,2,96.0246130985353
58,60,8848,3108,3,119.0086510416153
27,70,11584,3403,2,116.00528215484117
43,89,16243,3030,3,122.5084595429046
26,75,16774,2552,1,94.99369498791707
54,68,6384,1564,1,70.52406231164912
37,79,15155,2755,3,122.65174095498202
39,88,11642,3725,1,90.49739277075375
56,79,18952,2371,3,125.80797490206265
58,59,19600,3081,2,110.09342325798261
31,66,4257,2238,2,100.71652349915911
33,57,17490,2635,2,104.20033033875912
22,61,12267,2060,1,87.28002755434262
41,51,13862,3963,2,109.08227724343209
48,54,4176,3868,2,93.23951001862022
52,88,10188,1583,1,84.93363801377762
38,59,10584,2847,1,75.52202763929515
40,73,1485,3171,1,74.4815693821939
24,59,12600,2046,2,113.92606463508355
57,62,267,2818,1,72.67498264909887
37,65,11327,3851,1,83.25828495142581
50,58,10070,3793,1,87.16183181068988
44,64,10921,3251,1,83.77957598368239
29,69,2880,3164,3,107.93377395839372
50,75,8823,2215,2,95.6574556046825
49,60,6492,2738,3,113.92203598684603
18,65,11008,3987,3,129.84102307902532
26,97,891,2416,2,96.76442067898597
28,80,12472,2774,3,129.80723944804973
39,50,8840,2012,1,91.38056989852292
23,52,9977,3795,3,131.04190515855692
21,81,19440,3153,1,96.19189195997086
38,89,5354,3439,3,117.50263015223614
36,69,16216,1831,1,90.41374738713004
58,77,17749,3195,1,94.22057094672105
30,53,2183,3930,3,110.6592422047833
25,86,969,1614,2,92.81284990219298
37,99,12329,2765,3,125.00090344046495
18,54,19565,2083,1,93.55399803893197
21,50,1862,2998,2,93.83138750106346
45,86,18636,1762,1,94.27444413254425
37,86,14029,1790,2,106.82301160609634
42,79,7578,2217,3,120.14551220007937
20,94,17160,1526,2,118.83477969764553
44,75,9270,2343,1,80.56963441967194
35,99,12150,1721,2,98.63508614645755
57,92,4759,2215,1,78.63277346048397
53,88,11725,2057,1,81.2921376740688
24,54,16780,1919,2,113.4798408155038
34,74,3729,3846,2,89.77963899984691
38,69,6429,3104,2,95.86434155578768
36,72,7576,3946,3,120.48073756005539
45,61,11712,3611,2,109.23930993640113
36,77,14201,1643,2,101.18864334963912
33,77,4566,3409,3,116.08780074356903
43,85,11994,2785,3,114.59316738402015
22,69,12765,2099,1,83.35652390034116
28,60,11821,1986,2,104.7500125824935
23,84,14562,2994,1,83.56247632987358
40,73,15548,2138,3,123.59402631396465
44,94,6646,1853,3,119.79599971457294
56,83,8837,3436,3,119.45223097694178
26,90,18408,3443,1,89.69355991246196
57,99,18020,1588,2,108.19724007165725
35,56,14289,2510,3,133.12136323501358
27,50,11190,2363,1,85.68377901643812
28,72,10696,1709,2,107.25888863316057
54,79,8617,3721,2,103.60332739684576
35,53,4491,2770,1,66.93590051178386
37,91,12740,3210,3,124.75590935363631
52,94,555,3040,1,68.5200445456935
19,51,19158,3832,1,99.36502170187327
51,80,6750,3649,2,105.32678704413912
29,80,17850,1512,1,92.21536668247242
48,99,323,2659,3,114.7507229521915
38,54,8601,1643,3,120.33231844239083
46,50,6706,2139,2,93.58360426064489
21,98,11934,1782,2,98.24099524981847
38,85,18226,2633,2,113.95989958388519
59,98,5892,2958,2,95.32943727379238
20,93,16084,3329,1,84.89086403560988
34,56,11702,1946,2,104.06921123318634
39,58,1162,2718,3,111.46111274724278
44,97,12633,1568,1,72.93884624143129
29,53,120,3390,3,117.74212220269332
36,92,12903,3602,3,133.54367403832336
41,89,6531,3361,2,95.62770768537725
43,70,17815,1994,3,136.58892743554136
36,93,1765,1775,3,120.06674853503782
22,61,3470,2183,1,82.67083274979937
37,89,3103,3601,1,69.4219960206004
27,51,7809,1988,2,101.48607913512626
37,78,15773,3980,1,92.0003629375354
32,97,11841,2352,2,105.17825321594532
35,82,14071,3077,3,133.09062999734152
42,97,16234,3857,1,79.7544395742796
38,62,4260,1725,1,73.4005944563803
24,63,8459,1789,2,105.49864876583905
24,50,19951,2697,3,142.39287229387182
56,87,17087,2667,1,88.79376610585027
42,94,4780,1636,2,99.85908098032698
31,94,7030,1980,2,101.87988889016799
31,76,8737,2647,3,117.3942397179484
55,89,6612,2271,2,99.77082518130891
19,73,1320,3609,1,80.65160658092948
34,59,3004,2893,1,73.76512129546799
40,62,5822,3375,2,92.59421119669312
41,77,12693,1864,1,86.943305815266
40,79,4647,2083,3,121.61573392218253
18,64,15397,3982,3,132.21529854868098
42,95,14434,3781,1,92.22501016603509
59,81,2731,3572,3,114.60795194532395
40,51,14456,2601,2,105.45148076563463
23,99,9578,2397,3,126.21486605849539
58,62,19858,1881,1,89.03978217376829
51,94,12052,3068,3,125.05022525515295
31,56,11441,2834,3,123.36357881071912
25,50,7229,2221,2,100.17877022073874
24,86,1245,3196,2,97.28561447694673
41,70,13855,1887,3,119.40147419035448
24,67,11471,2270,2,108.96294144743372
58,95,12634,1697,3,123.22571904104565
48,76,16083,3580,2,110.43297875709871
39,64,14923,3806,3,124.00312277956178
24,97,8104,3811,2,98.00953120192318
23,96,18523,2555,3,142.6592219181761
19,67,17098,3405,2,118.28098889919855
56,85,9072,2092,3,107.86557612872393
26,72,4931,2764,3,119.16348638861645
24,61,7974,3725,2,101.09088885911459
56,88,1675,1666,1,67.16928710125693
37,55,18813,3890,1,87.48336073650155
25,54,5197,3858,3,116.92333501799222
35,84,2470,3370,2,92.97720731256052
21,72,9075,3290,2,92.98878410380787
23,70,897,3920,3,117.70879325425234
53,78,9982,1596,2,100.95246715742985
57,87,5760,3674,2,84.26891295679128
59,53,18294,3317,1,87.46196680609678
57,91,8094,2208,1,79.22579085446257
33,52,10946,2472,3,125.89913097942949
52,56,4468,2219,2,91.85311724508044
39,73,2241,2183,1,69.50059577485706
30,50,7372,2607,1,83.81783745213312
50,63,14541,1547,3,119.96427178510248
36,83,17836,2283,3,124.17140547780684
21,63,1234,2031,2,96.56791777745889
58,66,8747,3366,2,98.05674603327526
34,83,1202,2202,1,78.84006418312626
57,71,13636,2801,3,128.8766067611914
40,60,3542,2603,2,94.72424768148171
43,74,8893,3347,2,107.29233339665865
18,74,3151,3332,1,78.38006093874078
21,70,17029,3299,2,109.71033547037814
40,93,8719,2193,2,95.87751505921587
23,93,6315,2327,3,127.10547352984187
49,96,1500,2305,3,110.83281440780883
36,55,2914,3345,3,120.2732845942388
21,71,10480,1863,3,117.3614017926569
55,79,14257,3148,3,121.22123540247532
20,93,72,3353,1,77.8044960758068
47,91,15616,2756,3,126.83498926008181
34,90,10676,3761,2,101.6064168522934
48,78,341,2374,3,112.95958472504736
22,90,3646,2141,1,79.70316299074742
19,89,14241,2064,3,127.24110032644458
42,95,16483,2162,2,109.07880623780768
24,76,6597,2363,3,133.91925408372802
30,74,11121,1924,2,100.86771333374583
47,74,1697,2641,3,109.64584004542162
34,69,14815,1875,1,100.90447930898854
52,57,9096,3656,1,80.9724936293802
29,67,9902,2108,1,85.39603885985835
29,90,16750,2758,2,114.73327512103288
26,52,14140,2714,3,134.3216916365166
54,99,5326,1743,3,109.96217712070656
37,59,16379,3731,1,87.2219726965568
39,66,7821,2316,2,103.23406675041353
