age,weight,steps,activity_level,workout_minutes,calories_burned
36,70,11026,3,44,2337.0235342625056
27,77,19386,1,81,2714.0571521892352
30,82,6759,2,63,2171.414507274297
54,79,16496,1,0,1984.1096616518641
43,99,10262,3,115,2959.373307098977
32,68,9723,2,103,2748.305717942521
39,74,11280,1,43,2032.6563908356202
56,94,9396,2,109,2629.6700789325578
19,85,7409,3,107,2719.604110408199
26,83,9707,2,27,2073.9574222085353
52,94,18212,2,72,2741.7290805736834
43,51,7252,3,26,2145.4608601382333
27,89,1550,2,85,2169.3006679613363
55,51,9269,2,35,1982.1018748208112
43,54,2776,2,107,2402.553025755931
25,53,12635,3,41,2475.3092057586123
34,91,3534,1,114,2429.865749355517
35,86,19703,2,61,2802.2500138392356
20,60,12323,3,109,2950.768977527716
27,84,5424,1,3,1556.6837442585736
23,88,5701,2,19,1790.796666287745
34,65,8760,1,42,1946.4317807023572
41,69,9402,3,75,2539.733922675844
54,54,7475,2,80,2323.125373873788
35,98,7182,2,110,2472.5366331145633
36,57,10672,2,88,2524.4739188802073
42,97,12041,2,103,2729.697801755381
22,86,17359,1,73,2636.8585595722534
42,59,12043,2,48,2329.2888288474787
38,77,684,1,19,1485.0318839421448
43,93,12814,3,14,2167.6359766352834
19,94,7058,1,93,2358.733088282497
42,72,11376,1,91,2374.034631844943
55,91,7809,2,14,1700.6117850307835
58,61,8592,3,77,2543.081502863993
56,60,6879,1,24,1732.762612302006
27,88,9411,2,92,2481.7217208220477
48,53,1850,1,55,1762.4982901429028
55,93,19214,1,89,2693.236638078871
57,64,12129,3,106,2892.990247409582
31,75,192,3,55,1993.275832472757
25,51,7308,2,93,2430.9681000393334
20,50,17978,3,117,3295.806833790256
36,94,17639,2,60,2713.3777394067433
21,80,3314,3,97,2496.6629464497373
34,79,57,3,90,2201.290884985563
54,84,17828,1,70,2569.485375038345
25,95,3893,2,68,2146.85153810023
59,88,4665,2,46,1944.2859542303108
18,88,17968,1,61,2539.4411856038214
59,61,14546,3,99,2909.1662749743755
43,99,7956,3,98,2597.122825243701
25,54,9050,3,16,2107.7168516456445
36,75,1594,3,20,1891.7456264889447
52,72,9389,3,89,2669.4516477363186
39,60,13568,3,15,2229.211753027634
23,95,593,3,0,1731.0682897219583
22,96,8565,3,33,2123.955294598817
59,89,6797,2,88,2380.7449479847687
20,90,3796,2,5,1662.7815902539542
26,63,3866,1,75,2039.6616073625446
22,72,4457,3,26,1924.9556389008628
52,65,11098,2,32,2128.418643845513
18,55,10193,3,113,2973.178598914608
25,71,10491,2,116,2701.0692580419427
25,71,14916,2,86,2761.3531845576417
58,81,15112,2,92,2798.5342590987507
39,52,9443,3,83,2633.7499214446093
48,65,18396,3,110,3150.1189687181336
36,85,15308,1,42,2331.9596074779547
45,71,3370,1,82,2021.3257378465858
28,91,16558,1,15,1982.7863551811877
28,56,5541,1,114,2404.7217935464255
33,54,4948,3,81,2382.886839435456
56,93,19348,2,100,3008.539746150189
41,71,170,2,41,1847.416271517175
41,55,13626,1,77,2503.511375924616
26,60,11067,3,10,2126.76253604111
59,93,5933,1,84,2125.0705060527957
34,50,18247,1,42,2228.576095121504
31,84,11541,2,85,2672.9121893334036
38,84,6127,2,55,2142.5708537372393
21,87,10923,3,0,2043.4681244142896
49,82,16298,1,10,1978.3325984451733
51,53,19715,3,97,3007.865031626143
31,51,12489,3,4,2219.0624868980785
19,79,2689,3,9,1800.9877295515241
57,55,101,1,96,1951.1288082326623
25,86,10425,1,24,1958.98766664572
54,70,1081,1,30,1577.1655585129874
38,76,7303,3,70,2359.9258972199214
44,69,9890,3,82,2607.2133889225215
59,53,7078,1,103,2231.646821714786
35,74,5992,1,110,2412.7699996249344
44,59,4561,2,119,2553.1225532800427
35,98,16122,1,119,2904.739929535933
28,83,399,2,62,1919.0116895471783
25,59,19683,1,119,3130.10982914097
25,96,13861,3,87,2950.963847533031
44,65,5062,1,77,2060.4058998064893
26,53,11257,2,60,2347.6832740889454
55,87,17547,3,90,2995.5503383691776
57,75,19931,2,14,2240.3351543098174
27,80,18805,2,99,3004.660297328208
31,79,9292,1,88,2351.9127848536536
30,70,35,1,81,2047.8982418598814
47,82,18504,1,25,2203.5407677279627
23,97,3099,2,76,2154.8696203969607
33,73,3795,2,93,2287.9306134266867
20,81,5790,2,46,2066.491979305093
27,80,12227,2,69,2430.029536002359
40,97,18328,2,2,2184.4500290283886
30,93,18187,1,96,2790.966038059535
47,55,4613,1,93,2214.1264543990096
28,54,15826,2,74,2680.641991659332
25,64,13206,3,5,2158.444943731553
56,53,9340,3,99,2712.827056736099
55,69,8581,2,16,1854.525528384018
22,67,13327,2,110,2879.1863262609527
38,90,17520,3,118,3219.099917413248
57,53,13393,1,87,2394.0376139129335
18,56,1323,3,49,2052.4616930523625
31,99,17909,3,27,2494.1051413701734
31,93,6228,2,60,2174.7026961384113
21,55,8152,2,102,2641.963776660932
55,70,3763,2,27,1813.2058080121346
52,67,13495,1,3,1839.4741074264878
37,51,7536,3,15,1979.3405890686265
21,87,17914,2,24,2419.3754537942455
20,83,6940,2,32,1962.395054054084
56,55,2336,3,4,1647.9413842061467
19,69,9635,3,38,2245.3713972360924
18,93,6190,1,86,2170.0994058303377
22,52,11019,2,13,1977.6262482227166
23,86,11767,3,23,2254.6632843302586
35,79,520,3,101,2352.6713744308804
50,82,2478,2,7,1524.2383850538677
55,65,9814,1,52,2045.1598520083026
30,64,15812,2,35,2309.684201667323
53,70,19653,3,1,2344.9082176888546
33,90,8874,2,1,1806.5214183039493
18,56,9178,3,58,2364.805963312194
23,58,12967,3,118,3131.6863884933477
58,88,14827,3,40,2418.2803962421467
54,92,4248,2,52,1888.061166541889
28,70,8703,3,76,2578.0428094882077
37,54,587,3,62,2022.2875879338012
21,97,14234,2,32,2223.3916095329737
56,86,16729,2,27,2269.3198681686576
54,60,7166,3,91,2623.7370991114317
35,82,3568,1,76,1995.3604947739823
29,99,19712,2,65,2750.9885139462212
42,71,9594,2,38,2135.2165450830594
27,77,275,1,24,1601.2620402218035
55,54,12412,3,97,2842.6380864970643
38,88,12198,2,118,2884.1997192738468
46,54,5753,2,50,2029.3788444058628
47,78,14016,3,12,2182.858732762783
30,61,13247,3,19,2313.2560541528164
34,73,5671,1,57,1961.0920324848053
52,97,810,3,80,2164.501462154548
26,67,10400,3,99,2866.9164040928276
39,88,10285,2,108,2681.165285932635
46,86,13872,1,93,2588.3509387269364
41,64,12232,3,65,2601.8940925833913
31,63,1340,1,100,2183.8442692025515
24,70,19524,2,40,2604.395777165829
36,61,17533,2,108,3055.5060159188956
51,56,6116,3,46,2234.9129409521656
42,55,6311,2,60,2100.999938415161
57,98,4830,1,61,1844.4156808979906
31,60,13321,2,17,2082.5644391562714
20,92,11560,1,81,2388.0124482201163
18,51,11798,2,36,2214.776435583449
52,63,16157,2,64,2641.852100720187
53,88,11707,1,42,2071.320920570667
27,97,221,1,56,1876.0685548327822
22,85,18178,2,61,2699.8176465550896
22,54,2589,2,49,1939.0275685343884
57,63,2135,2,90,2084.683549332238
44,67,13478,3,45,2446.50949705825
41,78,11998,2,64,2433.9189786815455
26,88,2727,3,87,2361.7953530946565
46,61,5698,1,30,1735.138047920604
30,68,9348,3,108,2832.3189667898246
41,77,7944,1,63,2150.1455940115893
23,66,15063,2,3,2039.3788888111064
53,53,14221,2,76,2518.4687638449773
33,98,14179,1,75,2459.312105477628
21,63,1093,1,83,2086.300652435006
23,83,13065,1,1,1887.5955691818829
34,61,8182,3,113,2801.342879817756
26,77,6460,1,86,2155.184001915121
26,84,8575,1,76,2281.048578073655
25,55,18087,2,20,2246.979180273252
29,64,17408,1,34,2246.9088927289304
59,70,9204,3,46,2232.5304164901495
30,72,11626,2,42,2313.499107031474
59,85,15009,3,31,2331.930756575005
45,57,780,3,65,2019.0877860050268
24,92,8121,3,109,2822.455921274354
24,93,6168,2,2,1716.4087339479797
47,53,13501,3,14,2234.5078283237563
49,53,17118,2,51,2496.918250764562
30,65,6198,1,91,2240.7475648196955
45,60,5111,2,119,2625.7205501526455
38,98,19815,1,27,2335.43366003935
35,64,11627,2,107,2682.718374661278
56,68,16735,1,57,2341.728924458275
19,79,2045,2,4,1648.2017355010773
45,66,14671,3,83,2802.2999499345883
55,87,6043,1,46,1808.4880808551814
49,63,753,2,47,1821.1667927151568
51,81,244,3,85,2212.7966948548033
52,69,143,1,95,2037.7387154881035
59,50,10020,1,48,2047.5305126445367
20,95,15134,1,118,2953.2988052352885
40,84,16425,3,82,2862.2605772108677
56,61,11384,2,119,2756.7064778443555
19,67,4004,2,6,1634.7570327099838
55,89,9130,1,8,1681.2849365408388
45,73,16228,3,56,2679.0135867291724
22,84,13190,3,11,2195.1262541422084
48,69,11231,1,22,1922.5331224085712
58,70,9923,3,114,2868.0946325019177
22,58,12041,3,5,2191.980921663462
28,51,14886,1,12,1936.1565414105708
40,50,15288,1,0,1891.8536259756982
45,88,17803,3,107,3180.046373058871
21,73,4588,3,23,1947.9795234151236
58,62,5814,3,48,2144.639059948968
56,60,7364,2,49,2086.8713890334816
20,99,665,2,112,2410.814800841903
28,96,12553,2,107,2848.4596214108224
38,72,593,1,29,1510.8929874824062
58,73,19298,2,69,2650.2905105679833
46,87,6681,3,113,2733.239748933345
42,52,9088,2,20,1923.282086251032
51,52,7786,2,54,2212.8065303299377
22,93,8566,2,3,1776.0719336744846
28,82,10404,2,34,2187.771505732843
23,87,4280,2,84,2332.5406833399493
38,57,14846,1,27,2080.9248034536213
33,74,11229,2,2,1917.3730224197736
40,82,295,2,84,2140.046689830521
56,81,11176,2,20,2062.270931521561
58,55,12371,1,48,2107.7211523549795
44,60,6832,3,99,2636.8177892294093
54,61,6580,2,4,1554.3517464632466
38,84,19662,3,8,2403.978586477909
59,76,6100,3,105,2606.5263366733498
45,54,1834,1,32,1523.5290464321365
19,70,13837,1,81,2455.1412367333664
51,56,15496,1,77,2502.4775698244694
37,70,14972,3,69,2771.068710522934
18,96,18814,2,10,2252.030095286605
24,77,8815,3,110,2870.100661675878
25,93,17807,2,93,2896.0006452887737
59,66,281,3,58,1956.7978557178635
19,59,16092,2,30,2280.9406017238066
55,52,6938,2,27,1932.45206792664
21,65,2408,1,103,2139.328120166061
41,70,1365,1,102,2218.311495840877
38,56,13328,1,12,1898.5217083589469
51,68,188,1,34,1474.6335087888674
52,97,15135,3,63,2630.6655425265053
34,97,2309,1,38,1686.6192536843841
57,56,10294,2,72,2411.2322560222665
51,50,11686,3,96,2800.141159165461
18,99,303,3,29,1893.6700454746178
25,94,8774,2,8,1876.69946968202
48,95,17456,1,110,2801.8403219565876
25,77,13184,2,4,2065.7812753259077
39,98,13162,3,3,2101.667693101595
30,59,11518,3,92,2753.1263412874137
37,67,7701,2,72,2352.661659491839
36,81,13844,2,78,2622.3780047613855
25,93,2135,1,100,2228.4826080778917
38,81,19700,3,51,2717.6472287695665
26,64,14906,3,15,2283.747262241271
53,56,8,2,103,2228.434665761119
28,86,14694,1,115,2742.5264986047728
38,65,2338,1,79,1931.091699553474
52,56,16989,2,86,2679.811826650371
33,51,6981,2,76,2264.25446866513
33,92,7786,1,72,2176.486441454404
30,93,3348,2,6,1625.8200482276918
52,94,9787,2,62,2318.2685374672114
28,60,6630,3,63,2346.941687673229
43,84,1325,2,45,1893.465147367791
34,76,17878,1,35,2211.6404706990756
42,72,15503,3,62,2671.4299217592993
20,68,14441,2,33,2239.942462648517
25,66,18516,3,22,2496.145333173534
35,86,9897,1,1,1647.8925831157912
46,78,13692,2,9,2063.2031287341856
38,85,3050,2,79,2195.917895922583
45,95,4053,2,94,2225.5560036153483
45,96,4152,3,31,2002.8766082902303
44,52,5437,1,25,1719.8868143611637
22,97,12394,3,18,2288.353718674411
22,72,14161,3,113,3119.8692732561867
51,92,17110,2,110,2946.992941401102
46,85,362,2,27,1633.0742307051637
47,79,2232,2,18,1630.2095664199755
30,87,14855,1,50,2343.2048316245277
39,96,16901,3,61,2769.200676137451
39,77,6259,3,88,2590.4723164859506
25,92,5196,1,100,2307.909839435016
42,66,19171,3,103,3111.13656197263
33,58,10390,2,66,2375.956675628028
28,82,1998,1,22,1525.3457041062948
45,70,2109,2,112,2452.749940538141
48,91,5144,3,106,2712.8760005925583
44,62,3440,1,108,2259.5303611985114
29,65,14610,1,10,1927.136356411038
52,79,13027,2,16,2098.89894273843
19,91,1142,1,98,2124.1022674346673
33,72,19200,1,81,2673.042640520159
30,79,15962,3,103,3018.9327203361563
40,93,1670,1,116,2286.054683072146
28,74,17470,2,108,3003.0676438642217
20,68,6770,1,99,2296.156148905271
43,92,1675,3,103,2367.585973489541
58,96,8315,1,44,1944.6528166960845
37,71,15915,1,89,2706.4780273110123
41,71,19388,1,2,2091.1667435215763
34,81,1997,3,97,2507.6033052932594
54,77,2592,3,46,2011.2465755951832
44,87,8973,2,66,2330.4202495607965
46,77,2398,1,20,1544.6688208301891
43,63,2354,2,4,1461.1399899886821
44,56,13715,3,58,2532.440506942836
47,64,12737,1,102,2576.9616989274164
48,80,19765,2,95,2897.863246928727
26,93,5107,3,7,1752.2578075130173
46,70,17508,2,91,2828.6488655197754
35,88,3448,1,90,2104.7872653361032
57,80,18230,2,26,2342.1498863200404
52,98,4100,1,101,2143.6307600457203
37,95,9865,3,114,2837.5613183623436
38,57,8011,3,28,2201.4673586243784
28,51,7620,1,3,1681.0679881602086
29,86,41,1,59,1850.23785591757
34,96,4347,3,40,2037.9047689315692
55,88,10565,1,115,2588.7921108444975
38,54,3665,1,103,2237.8221009723666
43,90,6909,2,70,2272.8480666477562
42,65,1173,1,36,1591.6985044731123
33,55,17294,2,11,2194.5425034643567
42,75,15944,3,44,2583.3690062461387
25,87,17748,1,10,2139.583038685752
27,78,4084,2,93,2391.552540881923
46,71,17238,1,109,2834.284082141795
20,78,18143,2,51,2658.882394108257
57,85,13756,3,107,3009.941323629916
29,83,6729,2,59,2173.3303939531916
45,54,5040,2,41,1897.9507806441454
29,64,8449,1,48,2082.5236464174154
49,77,7494,1,62,2021.7680536055152
41,57,6649,2,85,2397.2079382652673
46,85,6796,1,70,2146.3060991655266
32,94,4000,1,44,1772.0587234488487
54,95,12091,3,35,2316.846919993253
56,57,4632,3,32,1914.7939832162979
27,58,3733,3,94,2514.9780927672527
49,75,3273,3,24,1868.9598359073773
19,82,6298,3,98,2687.6128678273544
31,72,2186,3,88,2395.2091042943907
34,68,19709,2,104,2932.481699951121
44,65,6127,1,95,2374.470349790942
59,72,10680,1,55,2120.3868747158704
19,71,10800,2,94,2731.696815068985
39,77,493,2,86,2100.8948425499557
37,55,9103,2,62,2324.0497521631873
25,98,11425,2,83,2633.077337846825
20,80,11129,3,47,2435.823234563806
46,67,10205,3,3,2080.08406619638
21,90,12872,2,51,2412.071208385756
39,64,7994,2,115,2741.5186160242865
24,91,17104,3,20,2410.1561698764244
30,66,7807,2,106,2650.930344717263
36,69,11058,3,27,2225.3951354015876
41,51,7238,3,78,2495.738470184744
48,70,15743,2,27,2317.427125884226
31,76,8791,2,103,2659.2766278002678
41,97,13087,3,42,2452.243424444701
27,87,18270,1,25,2215.795440072597
29,71,5698,1,104,2272.7524966389783
21,80,9548,3,28,2204.2747524594706
35,82,14690,1,17,2049.610228754238
57,72,19877,1,20,2217.48322247014
55,98,11797,1,50,2133.470939379636
48,82,13244,1,92,2461.08501378594
53,70,11664,1,46,1971.869567058126
32,75,13122,2,38,2290.6350727076688
30,59,5481,3,14,1940.1557507714033
59,66,17427,2,24,2237.8066772426796
19,50,15757,2,92,2781.483459359648
52,63,11596,2,1,1900.7854595653182
32,92,16741,1,6,1905.7113911167487
47,58,3217,1,59,1885.282141563611
58,73,7646,1,10,1622.7420383966814
30,83,6714,3,71,2420.124473340544
57,69,10094,3,33,2163.403916417057
34,97,18592,2,38,2442.2569099298753
38,98,14461,1,48,2322.1915202066
47,87,18056,2,61,2550.2582860305693
22,95,10546,3,11,2161.3635916404924
33,59,2644,1,90,2041.7981911940738
26,74,8346,3,84,2582.9187811764396
41,71,18124,1,65,2540.634602708475
43,75,10369,1,63,2219.4354021950007
59,79,1360,3,36,1914.4505258846718
30,99,19254,1,54,2535.6667866424996
27,74,15671,2,36,2353.6645970634936
45,51,7841,1,58,2083.3749732475053
29,52,2249,3,81,2375.8937864182353
35,81,5011,3,37,2037.4346299487406
58,81,10306,1,94,2429.126096419489
49,95,13611,2,42,2214.930784801698
46,88,9286,3,86,2607.71468108696
36,55,2735,1,67,1964.699851794345
47,60,4289,3,13,1852.5974778303323
50,79,1485,2,35,1719.0889143165978
57,85,3299,2,81,2136.655198155754
31,53,131,2,84,2151.0865615566263
59,96,19761,2,70,2762.6777195316754
51,66,9970,3,33,2250.5049214124933
58,52,19118,2,111,3086.2664178269342
59,75,17304,3,66,2765.515140051803
21,69,17733,2,49,2508.973891498903
51,91,7077,3,10,1907.4496593121792
44,91,3601,2,82,2225.785539094524
58,96,2525,2,105,2346.603725828081
49,81,9639,2,9,1949.981726679761
42,85,19059,1,87,2710.042580095204
23,85,5256,3,68,2367.1918469643447
23,58,19503,1,94,2961.112386440478
48,78,3130,3,34,2101.5588500128624
35,82,13711,3,78,2759.4132606453236
29,70,326,1,75,1869.8754267379973
46,74,12385,1,12,1832.2567370133302
48,97,17909,1,45,2268.736176877244
24,86,13444,2,38,2377.0198551382414
50,53,14310,2,41,2360.8865450340336
59,80,16048,1,106,2722.5540303931202
20,97,14625,2,99,2808.0498750466045
43,90,16699,3,12,2339.073823354405
22,73,15557,2,4,2090.314258351409
47,90,1752,1,37,1627.1580997240824
55,97,16470,3,47,2569.503415798121
19,91,13996,3,37,2451.9434569047876
49,71,8903,3,32,2231.094662098467
25,60,8595,3,34,2251.183090803871
56,59,11682,2,26,2144.9406402291834
52,76,15896,3,117,3095.6490402040845
37,92,3667,2,11,1653.7996847004213
51,70,2196,3,24,1854.7971481246618
19,70,9487,2,63,2378.564620013359
25,91,1196,3,91,2418.1747149701746
52,65,10828,3,80,2662.7975570293474
34,91,5242,1,95,2272.004839060195
50,60,8435,1,34,1879.458240755598
35,83,18693,1,57,2471.388106629908
26,71,5936,2,114,2566.56830951054
21,88,7254,2,49,2072.387613066966
53,89,4580,3,35,2024.3699888141432
36,66,9142,2,96,2525.1823770522797
44,90,6654,1,103,2380.9689466069462
36,90,15895,1,80,2609.949987526759
31,70,5094,3,90,2544.1637964401775
20,71,15145,1,22,2026.5969925958368
21,78,10461,3,59,2467.6470085893948
54,61,685,3,0,1590.704978651133
50,85,5410,3,28,1946.0630560873642
38,96,6807,1,117,2487.087799812046
47,54,15632,1,70,2460.5259760960676
21,62,10782,3,79,2719.7846653436113
32,70,11030,1,65,2230.6502374161196
57,50,8016,1,94,2278.1288216531775
53,70,2866,1,103,2198.9658569413655
33,87,17883,1,27,2219.326893219556
21,57,2505,3,52,2157.9906427558517
49,69,1911,2,69,2031.9849563299413
54,50,10804,2,65,2368.228417713503
59,56,17373,1,67,2582.5211640350517
42,67,9428,1,90,2321.2371409708794
53,84,4797,2,78,2270.362092001953
48,50,8673,1,28,1810.0747772260556
27,92,6350,3,25,2022.1976617560206
24,73,1466,1,85,2081.687616873831
43,84,8018,1,110,2497.819693780183
31,84,76,2,89,2118.0805895075005
30,91,17762,2,98,2947.029470267466
45,69,7999,1,74,2143.449597552138
54,95,16958,1,118,2787.74403457602
44,79,19957,1,93,2870.565828979761
44,89,16160,2,42,2503.8299716830757
41,50,4335,3,29,1968.3330285110387
39,51,3048,2,71,2078.0377914328606
56,98,15362,2,103,2818.621802333285
18,58,4657,1,49,1834.6977699492263
27,57,19417,2,107,3064.017194532097
33,85,18577,2,25,2423.7447588809487
36,87,417,1,5,1356.600525968019
20,64,8077,1,100,2336.2323243209617
33,57,7743,1,24,1784.3422220310872
47,78,9514,3,70,2499.5402936340265
28,66,9750,3,16,2118.3941211824294
41,84,11168,3,89,2717.8608509219093
59,56,9002,1,43,1923.659151382384
48,62,19232,1,6,2112.6921004896762
48,80,13523,3,75,2614.7069534376924
20,75,5864,3,8,1790.7962520475319
49,64,9371,3,34,2211.1996948850297
44,55,8896,1,47,1999.6109876822552
25,70,13114,3,15,2295.980699534218
51,96,11178,1,33,2017.2649343436287
41,94,5715,1,93,2322.1528481648133
31,86,7813,2,29,1880.933138117601
55,68,6988,2,62,2232.4580951591824
22,85,12313,2,38,2311.1946996724305
54,79,18163,1,117,2805.50119653503
54,86,4480,2,65,2115.7397968038695
35,57,18220,2,80,2721.208934712408
25,60,11096,2,117,2830.7686715109776
55,59,15590,3,99,2861.4926173795893
46,51,12575,3,64,2576.3968988785477
31,67,5869,3,51,2216.448084365939
23,53,15425,1,71,2525.6842160908736
37,79,1137,1,112,2248.2954319604896
53,89,15595,1,115,2777.939596057048
29,61,8961,3,4,1973.9909396026428
36,84,5091,1,93,2233.897624867201
21,50,5973,3,64,2292.2393248499693
36,58,8382,3,38,2226.245994062886
46,66,19578,2,91,2950.7314915025036
37,57,17638,3,26,2466.287020940226
30,66,6159,1,75,2096.3517933773314
19,99,8490,3,67,2409.2312235156105
39,52,10053,2,15,2028.3032763471406
45,96,9866,3,96,2780.952871631173
25,58,1122,1,34,1579.643279584378
41,98,1020,2,66,1883.2770062429483
22,86,15088,3,13,2236.525969863492
49,65,1995,1,111,2182.4602351467956
20,61,6312,1,21,1752.4358391646806
35,61,3327,2,97,2424.011602875516
28,58,15530,1,47,2347.469190103857
18,63,9613,3,96,2695.8297833202055
43,92,15850,3,66,2750.3702789432364
55,95,2717,2,72,1930.7743839368804
29,81,17465,3,3,2322.645091298645
32,71,19597,3,52,2800.4755234693125
37,90,10906,1,22,1922.5064501321892
55,96,4054,2,3,1637.8959585139976
36,57,19584,3,57,2901.0455660764824
56,89,9879,1,93,2376.2591370839473
32,63,7341,1,89,2268.00544073991
22,92,2272,1,19,1555.8043693469665
48,67,11035,1,17,1764.3472737998034
47,57,18634,1,76,2550.1370132986835
33,66,13541,2,101,2808.7116847368598
53,85,17506,2,41,2496.460928944794
45,91,18833,2,49,2526.6397322057333
49,52,8927,1,119,2534.1115680338594
22,75,13085,1,56,2313.451693176131
26,66,13545,3,65,2707.076933862437
31,76,4082,2,53,2057.859666417857
28,96,16613,3,113,3157.6291814689557
26,88,1044,3,87,2376.02796079439
54,58,4458,2,87,2223.2978750421025
58,81,13294,3,60,2591.7416544644934
36,77,2279,2,18,1732.869678995625
42,95,9871,3,106,2742.4669889169318
40,73,17090,2,85,2860.148923596947
32,82,6880,2,30,1966.7533111995988
31,75,10561,1,54,2109.0423398284966
39,66,39,3,94,2440.5519576959414
30,68,3818,1,78,2055.5412631613135
46,76,6220,3,34,2028.274259200044
22,76,4829,2,92,2461.703208293547
51,66,89,1,89,1968.145604847773
41,63,1520,3,73,2169.868216351818
45,72,8226,1,1,1622.4199781915029
46,60,4797,1,0,1526.2610095256132
55,65,10564,2,7,1845.5636707614485
47,78,3989,1,22,1467.6756702895307
36,83,15430,1,88,2556.5657952161832
47,75,10047,1,79,2339.059413728407
23,61,17764,2,44,2578.080622212305
32,69,19713,3,37,2711.24442554902
56,62,2715,3,25,1836.437278413849
41,80,11885,2,55,2310.1038225486222
59,59,12424,3,29,2256.859079493724
23,96,10965,3,81,2683.764159787055
40,74,2808,1,95,2112.2279418488533
55,63,9750,1,21,1790.0229129391284
42,84,12015,2,35,2158.988595978362
43,58,12024,2,113,2795.5624425653477
51,97,789,1,17,1458.8127736554445
41,79,1464,3,72,2155.248599411568
36,71,17346,3,60,2771.2795898272493
47,54,3656,1,114,2262.60474350828
58,73,6018,1,33,1737.5802741530931
51,50,19669,3,15,2370.0270059790973
51,55,9962,2,65,2290.42076626931
42,57,18777,1,52,2482.8643532222595
56,73,15242,2,101,2872.5340644933
46,77,6411,1,7,1625.3775725587764
54,75,15701,3,62,2622.7072127337005
22,66,1391,1,89,2082.930376540655
29,77,4354,1,57,1970.8940108393192
29,51,18622,1,81,2709.0440581529338
45,61,17490,2,101,2981.802955313044
46,64,4923,2,106,2487.268833911304
54,94,12209,1,49,2140.756688122127
59,87,16206,2,64,2476.8880235110137
18,90,7324,2,117,2672.248001463204
48,97,406,3,25,1745.6522158670016
41,73,11062,1,83,2309.086126200642
19,72,9471,3,112,2922.2435367592398
31,79,15361,2,63,2438.7698139422323
54,88,7027,2,14,1840.8935176006873
32,87,1224,1,33,1776.2285675023645
49,68,8026,1,3,1654.0751774593436
18,77,13442,2,104,2896.463539615497
46,83,17705,2,35,2306.898600738512
42,79,10594,3,71,2546.07159745429
59,86,9086,1,74,2223.7648406878498
29,55,17992,2,61,2650.5596256523895
50,83,19575,2,83,2841.7012010053936
46,53,1131,3,43,1969.6084884722693
39,65,3068,1,12,1440.7354646238518
28,79,5461,1,97,2271.9587096876176
58,65,13757,2,92,2651.4858529097164
26,50,13685,3,89,2767.0700171648864
24,89,9376,1,20,1869.3138714423194
25,62,1295,3,117,2618.8535914329295
32,79,19564,2,53,2605.927652571039
56,59,7875,2,35,2037.509334184422
49,72,19591,1,89,2761.5443393528053
39,66,4035,3,20,1900.6457247848864
43,56,18097,1,75,2593.034053586155
46,99,11363,3,101,2772.9004047105173
